id_empenho,id_minuta_empenho,numero_empenho,situacao_empenho,descricao_situacao_empenho,tipo_documento_empenho,descricao_tipo_documento_empenho,status_processamento_empenho,ug_responsavel_empenho,ug_emitente_empenho,descricao_ug_emitente_empenho,fonte_recurso_empenho,plano_interno_empenho,ptres_empenho,grupo_natureza_despesa_empenho,natureza_despesa_empenho,subitem_empenho,categoria_despesa_empenho,modalidade_despesa_empenho,cnpj_beneficiario_empenho,nome_beneficiario_empenho,uf_beneficiario_empenho,numero_ro_empenho,data_emissao_empenho,prioridade_desbloqueio_empenho,valor_empenho,id_plano_acao
24329,2023NME000019878,2023NE007496,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218467.0,3,334041,31,CUSTEIO,40,11358116000113,MUNICIPIO DE SERTANIA,PE,2023RO007532,2023-07-06,104,60000.0,31626
23802,2022NME000018457,,1,Minuta de Empenho,1,Empenho Original,AGUARDANDO_GERACAO_EMPENHO,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207663.0,4,444041,31,INVESTIMENTO,40,10347466000111,MUNICIPIO DE FLORES,PE,,2022-12-13,1,2000000.0,22405
14720,2021NME000006283,2021NE004954,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,197427.0,4,444041,31,INVESTIMENTO,40,10091593000100,MUNICIPIO DE TAQUARITINGA DO NORTE,PE,2021RO004995,2021-12-29,1201847,100000.0,13779
14719,2021NME000006282,2021NE004953,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,197427.0,4,444041,31,INVESTIMENTO,40,10106243000162,MUNICIPIO DE TACARATU,PE,2021RO004994,2021-12-29,1201845,250000.0,13778
16850,2022NME000010069,2022NE001369,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,206914.0,4,444041,31,INVESTIMENTO,40,11358165000156,MUNICIPIO DE CUSTODIA,PE,2022RO001410,2022-05-17,47,950000.0,15188
16853,2022NME000010072,2022NE001371,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,206914.0,4,444041,31,INVESTIMENTO,40,10358174000184,MUNICIPIO DE AFRANIO,PE,2022RO001412,2022-05-17,41,900000.0,15192
16851,2022NME000010070,2022NE001374,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,206914.0,4,444041,31,INVESTIMENTO,40,11097300000157,MUNICIPIO DE PASSIRA,PE,2022RO001415,2022-05-17,48,400000.0,15190
16880,2022NME000010099,2022NE008061,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207663.0,4,444041,31,INVESTIMENTO,40,10106243000162,MUNICIPIO DE TACARATU,PE,2022RO008102,2022-05-17,3,259682.0,15241
16878,2022NME000010097,,1,Minuta de Empenho,1,Empenho Original,AGUARDANDO_GERACAO_EMPENHO,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207663.0,4,444041,31,INVESTIMENTO,40,10143246000176,MUNICIPIO DE LAJEDO,PE,,2022-04-21,7,2000000.0,15239
20021,2022NME000013240,2022NE002855,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207064.0,4,444041,31,INVESTIMENTO,40,10404184000109,MUNICIPIO DE OLINDA,PE,2022RO002896,2022-05-17,12,200000.0,18622
23876,2022NME000018567,2022NE008645,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207465.0,4,444041,31,INVESTIMENTO,40,11040888000102,MUNICIPIO DE GRANITO,PE,2022RO008711,2022-12-22,6,100000.0,22468
23871,2022NME000018562,2022NE008624,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207319.0,4,444041,31,INVESTIMENTO,40,10106235000116,MUNICIPIO DE PETROLANDIA,PE,2022RO008690,2022-12-22,6,150000.0,22464
20026,2022NME000013245,2022NE002862,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207064.0,4,444041,31,INVESTIMENTO,40,10165165000177,MUNICIPIO DE BUENOS AIRES,PE,2022RO002903,2022-05-17,9,400000.0,18627
24073,2023NME000019622,2023NE001003,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218710.0,3,334041,31,CUSTEIO,40,10145803000198,MUNICIPIO DE SAO BENEDITO DO SUL,PE,2023RO001039,2023-07-05,38,350000.0,31164
24070,2023NME000019619,2023NE004175,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218710.0,3,334041,31,CUSTEIO,40,10130755000164,MUNICIPIO DE ANGELIM,PE,2023RO004211,2023-07-05,36,715509.0,31160
24072,2023NME000019621,2023NE004666,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218710.0,3,334041,31,CUSTEIO,40,11097359000145,MUNICIPIO DE JOAO ALFREDO,PE,2023RO004702,2023-07-05,2,1000000.0,31162
